,Additional_charges
939,10437.14973
164,3931.010649
6261,14446.21
4029,15635.69147
7061,22078.57
1751,9296.023957
2237,10408.44473
9211,21949.32
3488,5772.245087
8498,19426.76
1012,25106.16614
2408,12227.20171
9171,11262.79
2936,19930.48401
7028,6598.828
4482,13352.1307
4145,5995.345398
5560,9500.315
7074,14184.37
3227,9544.791875
8647,7166.508
6513,7859.974
6579,15192.29
9317,13999.76
6549,21917.78
353,13459.90885
4143,29591.94891
4172,24343.75044
6998,11787.08
4484,4576.736066
357,22156.34119
4322,11365.5227
7486,6708.4
8423,24661.61
9513,15306.12
7996,11365.71
3548,14756.26798
6147,24831.15
1437,9284.800254
3393,12209.32336
328,13332.68643
7427,18989.68
1305,10466.0568
7941,10886.37
6432,6115.052
9547,8912.697
4300,11867.71163
775,24571.65772
4501,10767.79279
714,14378.29687
4832,22423.06162
7557,4392.913
3038,7179.0495
7103,9315.162
3771,9854.210576
9797,13473.52
7195,22216.76
2724,11413.32216
4154,6244.094493
3668,15474.33185
9444,10808.09
7637,24148.31
5287,4327.015
637,8227.949899
7915,9728.678
9430,5861.607
9003,13743.18
8195,14310.51
3055,9428.232376
106,10728.47095
5838,8141.059
7492,8273.38
6077,11355.63
7471,15028.62
8074,23861.26
6480,6525.289
6879,3789.084
4597,4799.640336
3052,21904.75211
5986,7901.894
7844,5421.226
516,8420.794549
9864,13321.35
1497,11624.84453
2485,9224.383499
4362,12497.87984
1500,4248.742009
2813,26232.54718
4539,8637.246723
2160,12592.05491
5535,19866.8
7306,4299.683
5430,15447.16
7226,21128.36
5169,6323.165
4587,17084.27357
4336,7201.481356
9050,10665.31
2530,9588.813476
8146,6685.813
4800,6356.4529
7235,9950.828
1643,4426.04886
6355,4798.887
9021,13085.01
1550,6705.87496
5497,6192.441
5405,3604.045
4779,6253.988387
6354,14209.22
9730,20358.79
9727,13424.96
3288,14641.57104
4162,12425.24713
6620,3750.026
742,15532.39045
9608,12889.78
3412,13033.50822
911,19237.42093
6388,13735.6
5327,11218.68
710,4046.770073
730,14298.03026
9197,5382.92
8600,8910.204
550,10583.08475
9457,7800.52
8643,8777.883
2164,5889.644726
1039,29579.01553
7590,26592.28
4655,5331.418873
9250,5912.029
7964,12670.62
4267,10219.48218
9958,10647.3
72,25396.52824
6966,6595.889
8762,15045.23
5350,8535.324
5587,10088.88
120,24092.4884
2126,9892.09409
7783,5973.743
8186,8123.116
9786,14331.63
3161,6627.579863
1795,13008.527
500,5984.459161
4529,12244.88422
6626,12523.51
9895,7832.505
7910,25656.46
8090,17253.93
727,3778.308173
7761,15084.97
3430,20461.5266
5463,12125.22
185,26788.13887
3805,5985.277382
1841,9442.002256
9611,26136.04
5705,7749.746
8763,4911.223
1812,27044.90484
1181,8069.531126
6421,12808.51
7255,14313.79
7933,18690.13
8894,10449.38
8796,11639.83
9616,11873.92
5328,7931.479
3371,10209.53251
7972,14481.02
2138,4894.497249
873,8995.19847
8235,16876.77
8317,10050.11
2962,5767.28785
3463,9991.972637
8302,12287.91
275,20152.48738
8868,12566.25
1910,5347.38492
4272,17731.85268
7174,8724.339
29,9801.759455
7257,8331.251
3918,28742.72298
6108,12619.25
4352,28636.5566
7374,12455.1
1691,23700.67598
4749,9196.249956
1542,5070.454507
645,5321.308379
990,7405.949286
8775,28476.0
8221,17062.95
833,11440.60355
6503,24241.89
6287,11075.5
735,9926.701427
3786,4604.119722
8809,14709.53
4848,13654.57518
9257,15352.94
2105,27116.80933
2238,10565.01168
2279,8809.961253
7511,25232.23
5999,10493.65
1409,21308.79797
5340,8228.829
777,11806.1642
5376,6300.265
4046,5932.826187
5281,8686.405
4745,10186.94215
4189,5335.120737
5053,24206.95
6972,3796.141
2746,19031.99624
7272,7542.112
3020,11601.63188
622,4481.002949
445,8239.252296
2815,10819.43613
3507,4672.346803
3550,27657.44773
2114,11056.40061
4248,11347.12283
6840,6125.12
8761,4173.288
1756,21077.06236
6408,27151.75
8013,27926.52
810,18232.23858
3119,14477.88384
3329,21065.55458
5268,10661.38
6230,9241.131
2318,6110.867226
7655,9978.138
9061,14085.02
6400,12664.23
9999,11643.19
4845,9096.937763
9490,27713.27
3820,16306.99874
6803,19127.78
3384,24780.87991
1202,14638.71404
2538,6238.312962
7865,8586.115
4170,14411.60636
2476,7952.217803
5620,11532.51
9756,20048.91
4346,10888.18892
3633,24968.06102
7544,21734.31
1913,6575.150587
1630,5331.689897
5536,17011.44
6973,9254.585
5541,8287.15
2927,5922.954212
